batter,pressure_score,impact_score,batsman_runs,clutch_index
V Kohli,0.7463623395149787,2.4417261055634807,9155,1832.2752353780313
RG Sharma,0.9138023152270703,2.6128227960819235,7291,1459.6106500445237
S Dhawan,0.6481853000182382,2.412274302389203,6769,1355.0241838409631
DA Warner,0.6279645287688184,2.5630026809651474,6567,1314.6763868838937
KL Rahul,0.7494677075940384,2.403359356517625,5712,1143.6611308256447
SK Raina,0.7766339478094326,2.6052190567392866,5536,1108.5527412018196
MS Dhoni,1.9051450865642525,2.0,5439,1089.3620580346258
AM Rahane,0.6482167670217693,2.525243168133395,5269,1055.069383974062
AB de Villiers,1.0995124749067966,2.5751362202466304,5181,1037.6698594780614
SV Samson,0.7815261044176707,2.7420348058902277,5134,1028.2094243641232
CH Gayle,0.7266780432309442,2.678612059158134,4997,1000.7621160409557
RV Uthappa,0.7091927680162974,2.709065444359562,4954,992.1673032849504
KD Karthik,1.3512340656360184,2.5762137238947656,4843,970.1709791158123
F du Plessis,0.6707350901525658,2.5868238557558945,4773,955.9030235783634
SA Yadav,0.8598582474226805,2.8268363402061856,4506,902.6746778350516
JC Buttler,0.8042566913898742,2.7062237987745887,4476,896.6041921960658
AT Rayudu,1.0375358166189113,2.4388252148997136,4348,870.9905444126075
Shubman Gill,0.6658267716535433,2.57244094488189,4333,867.8953070866143
G Gambhir,0.5729284903518729,2.4662315550510785,4217,844.6156640181613
SS Iyer,0.8208623969562461,2.51141407736208,4127,826.7329105897275
MK Pandey,0.8587183308494784,2.343070044709389,3951,791.4807153502236
SR Watson,0.7378976486860305,2.7327109266943292,3880,777.3882434301521
RR Pant,1.020051986632009,2.6841812105458596,3818,765.0816932788712
RA Jadeja,1.8035520115984052,2.1246828561072855,3450,691.5712939470823
Q de Kock,0.5828877005347594,2.732238349885409,3444,690.1260504201681
KA Pollard,1.9840621168778096,2.4327748263179405,3437,689.1667347772784
Ishan Kishan,0.680161943319838,2.8692307692307693,3418,685.0197570850203
DA Miller,1.4548467274233636,2.266155758077879,3251,651.6884009942005
YK Pathan,1.3547557840616966,2.582262210796915,3222,645.9748071979435
N Rana,0.7990492653414002,2.816551426101988,3078,617.0462402765774
WP Saha,0.9037162162162162,2.6841216216216215,2934,588.2351351351352
HH Pandya,1.7708634828750602,2.4942112879884224,2904,582.5060299083455
BB McCullum,0.6153169014084507,2.761443661971831,2882,577.7507042253521
PA Patel,0.5724815724815725,2.763308763308763,2848,570.9343161343162
GJ Maxwell,0.995253164556962,3.276107594936709,2820,565.7085443037975
RD Gaikwad,0.6450850661625709,2.4858223062381852,2795,560.2523629489604
MA Agarwal,0.6281453867660765,3.0041938490214353,2764,554.252935694315
Yuvraj Singh,1.2174898051653829,2.497734481196194,2754,552.2860897145447
V Sehwag,0.4920894708128751,3.3229678123295145,2728,547.126022913257
AD Russell,1.9366543665436655,2.8954489544895448,2655,532.9328413284132
M Vijay,0.5901268115942029,2.5824275362318843,2619,525.0690217391304
SPD Smith,1.030015007503752,2.3326663331665833,2495,500.34507253626816
SE Marsh,0.6774699424986932,2.462362780972295,2489,499.0559330893884
YBK Jaiswal,0.5278944211157769,3.0332933413317336,2481,497.62447510497907
N Pooran,1.4037735849056603,2.877044025157233,2477,497.11232704402516
JH Kallis,0.7634220864251419,2.178524661719773,2427,486.576778699258
DR Smith,0.6888519134775375,2.762895174708819,2385,478.38069883527453
SR Tendulkar,0.6340508806262231,2.264187866927593,2334,467.95929549902155
Abhishek Sharma,0.7196064652143359,3.449402670414617,2297,461.0676036542516
B Sai Sudharsan,0.5588599752168525,2.580545229244114,2294,460.0557620817844
RA Tripathi,0.7100175746924429,2.917691857059168,2291,459.6510837727007
MP Stoinis,1.5073670723894939,2.6143497757847536,2205,442.6486867392697
R Dravid,0.656934306569343,2.375391032325339,2174,436.0129301355579
D Padikkal,0.6239067055393586,2.7839650145772596,2173,435.96314868804666
KS Williamson,0.8863898500576701,2.2517301038062283,2132,427.6552479815456
AJ Finch,0.7948113207547169,2.6910377358490565,2092,419.79433962264153
AC Gilchrist,0.5633440514469453,2.9360128617363346,2069,415.1997427652733
JP Duminy,1.2904761904761906,1.8955357142857143,2029,407.07440476190476
S Dube,1.3427041499330656,2.465194109772423,2024,406.3231593038822
AR Patel,1.6977329974811084,2.59823677581864,2016,404.91838790931996
H Klaasen,1.2496012759170654,2.670255183413078,1988,399.1679425837321
MEK Hussey,0.6614077669902912,2.2575849514563107,1977,396.56759708737866
KH Pandya,1.4959349593495934,2.602642276422764,1897,381.03943089430896
