inning_team,is_wicket,pressure_score,collapse_risk
Mumbai Indians,1728,1.1421721548238013,1209.942651646447
Kolkata Knight Riders,1632,1.1083042611512584,1142.7324912783452
Rajasthan Royals,1472,1.1247342067357158,1030.7374202620206
Chennai Super Kings,1402,1.1317106961806103,981.7395132088542
Royal Challengers Bangalore,1384,1.121538734266974,969.1364616202801
Sunrisers Hyderabad,1223,1.1196642974742,856.4358992892421
Kings XI Punjab,1158,1.1339750949395038,810.9401925284818
Delhi Daredevils,952,1.1002874480996487,666.7300862344299
Delhi Capitals,735,1.1255952804037246,514.8376785841211
Punjab Kings,529,1.1192505947660587,370.63577517842975
Deccan Chargers,484,1.1627186185521363,339.1488155855656
Lucknow Super Giants,439,1.1540091840339102,307.64620275521014
Gujarat Titans,387,1.0816582914572865,271.2244974874372
Pune Warriors,298,1.2017269887929451,208.96051809663788
Royal Challengers Bengaluru,247,1.047521507578861,173.21425645227364
Gujarat Lions,188,1.0914189568143577,131.9274256870443
Rising Pune Supergiant,90,1.1136842105263158,63.33410526315789
Kochi Tuskers Kerala,86,1.0632111251580278,60.518963337547405
Rising Pune Supergiants,68,1.031012658227848,47.90930379746835
