batter,batsman_runs,impact_score,death_score
MS Dhoni,2936,2.4858006042296075,1762.5943202416918
KA Pollard,1708,2.778672032193159,1025.9114688128773
RA Jadeja,1588,2.2803827751196173,953.7121531100478
KD Karthik,1565,3.006242905788876,940.2024971623156
AB de Villiers,1421,3.090551181102362,853.8362204724409
HH Pandya,1290,2.636604774535809,775.0546419098143
RG Sharma,1176,3.1881977671451356,706.8752791068581
V Kohli,1147,3.09463986599665,689.4378559463986
DA Miller,1137,2.350824587706147,683.1403298350824
AD Russell,1134,3.0264462809917356,681.6105785123967
AT Rayudu,877,2.783177570093458,527.3132710280373
YK Pathan,858,2.311918063314711,515.7247672253259
MP Stoinis,826,2.5325379609544467,496.61301518438177
SO Hetmyer,813,2.6324786324786325,488.85299145299143
DJ Bravo,800,2.9436936936936937,481.17747747747745
AR Patel,794,2.769158878504673,477.50766355140183
R Tewatia,752,2.3071120689655173,452.1228448275862
RR Pant,750,3.304177545691906,451.3216710182768
JP Duminy,712,2.328358208955224,428.13134328358205
TH David,688,2.6134453781512605,413.8453781512605
KL Rahul,681,2.785529715762274,409.7142118863049
RK Singh,665,2.368715083798883,399.94748603351957
SK Raina,664,2.1654320987654323,399.26617283950617
N Pooran,643,2.375,386.75
KH Pandya,632,2.54916067146283,380.2196642685851
SA Yadav,604,3.171826625386997,363.66873065015477
Yuvraj Singh,601,3.0054945054945055,361.8021978021978
SV Samson,594,3.0077399380804954,357.6030959752322
Harbhajan Singh,581,3.098717948717949,349.83948717948715
SS Iyer,576,2.8541666666666665,346.7416666666666
H Klaasen,571,3.1262798634812285,343.85051194539244
JA Morkel,571,2.407608695652174,343.56304347826085
IK Pathan,563,2.182894736842105,338.67315789473685
SPD Smith,554,2.5709969788519635,333.42839879154076
S Dube,538,2.3421052631578947,323.7368421052632
MK Pandey,536,2.4764542936288088,322.59058171745147
JC Buttler,519,2.9982014388489207,312.5992805755395
MK Tiwary,501,2.455621301775148,301.58224852071004
S Dhawan,499,1.8790322580645162,300.1516129032258
Rashid Khan,494,3.590909090909091,297.8363636363636
BJ Hodge,494,2.3901639344262295,297.3560655737705
KM Jadhav,466,1.8402366863905326,280.3360946745562
CH Morris,457,2.431159420289855,275.1724637681159
T Stubbs,448,2.34688995215311,269.73875598086124
GJ Maxwell,446,3.175196850393701,268.87007874015745
A Badoni,446,2.6431159420289854,268.65724637681154
WP Saha,441,2.7448275862068967,265.69793103448274
Shashank Singh,425,2.2873831775700935,255.91495327102803
Abdul Samad,423,3.772,255.3088
R Ashwin,421,3.056231003039514,253.8224924012158
V Shankar,418,2.446,251.77839999999998
