inning_team,over,ball,batter,bowler,batsman_runs,extras,total_runs,is_wicket,phase,pressure_score,impact_score,momentum,momentum_shift,ai_insight
Royal Challengers Bangalore,4,5,V Kohli,JP Faulkner,1,0,1,0,Powerplay,0,1.5,1,0,Match situation currently stable. Batting side has strong momentum. 
Chennai Super Kings,9,3,SK Raina,PJ Sangwan,2,0,2,0,Middle Overs,0,3.0,2,0,Match situation currently stable. Batting side has strong momentum. 
Kolkata Knight Riders,17,1,SA Yadav,MM Sharma,4,0,4,0,Death Overs,3,4.5,4,1,Moderate pressure in match phase. Batting side has strong momentum. Aggressive scoring pattern observed. 
Delhi Capitals,0,2,MP Stoinis,Sandeep Sharma,0,0,0,0,Powerplay,1,-0.5,0,0,Match situation currently stable. Batting side losing momentum. 
Rajasthan Royals,11,2,YK Pathan,SE Bond,2,0,2,0,Middle Overs,0,3.0,2,0,Match situation currently stable. Batting side has strong momentum. 
Rajasthan Royals,11,3,AM Rahane,Azhar Mahmood,1,0,1,0,Middle Overs,0,1.5,1,0,Match situation currently stable. Batting side has strong momentum. 
Rajasthan Royals,11,6,SV Samson,Yash Thakur,0,1,1,0,Middle Overs,0,0.0,1,0,Match situation currently stable. Batting side has strong momentum. 
Delhi Daredevils,7,6,RR Pant,Washington Sundar,0,0,0,0,Middle Overs,1,-0.5,0,0,Match situation currently stable. Batting side losing momentum. 
Kings XI Punjab,4,4,MS Bisla,CH Gayle,0,0,0,0,Powerplay,1,-0.5,0,0,Match situation currently stable. Batting side losing momentum. 
Delhi Daredevils,4,1,JP Duminy,R Vinay Kumar,1,0,1,0,Powerplay,0,1.5,1,0,Match situation currently stable. Batting side has strong momentum. 
Gujarat Titans,12,2,Rashid Khan,Ashwani Kumar,0,0,0,1,Middle Overs,3,23.5,-5,1,Moderate pressure in match phase. Batting side losing momentum. Major momentum shift due to wicket.
Delhi Capitals,1,2,S Dhawan,JO Holder,2,0,2,0,Powerplay,0,3.0,2,0,Match situation currently stable. Batting side has strong momentum. 
Royal Challengers Bangalore,2,1,F du Plessis,T Natarajan,1,0,1,0,Powerplay,0,1.5,1,0,Match situation currently stable. Batting side has strong momentum. 
Rajasthan Royals,12,2,SR Watson,CH Morris,0,0,0,0,Middle Overs,1,-0.5,0,0,Match situation currently stable. Batting side losing momentum. 
Gujarat Titans,9,5,B Sai Sudharsan,Sikandar Raza,4,0,4,0,Middle Overs,0,6.0,4,1,Match situation currently stable. Batting side has strong momentum. Aggressive scoring pattern observed. 
Kolkata Knight Riders,14,4,WP Saha,PP Chawla,6,0,6,0,Middle Overs,0,9.0,6,1,Match situation currently stable. Batting side has strong momentum. Aggressive scoring pattern observed. 
Royal Challengers Bangalore,16,3,V Kohli,P Kumar,1,0,1,0,Death Overs,3,0.0,1,0,Moderate pressure in match phase. Batting side has strong momentum. 
Deccan Chargers,0,5,S Dhawan,Harbhajan Singh,0,0,0,0,Powerplay,1,-0.5,0,0,Match situation currently stable. Batting side losing momentum. 
Punjab Kings,1,3,P Simran Singh,Harshit Rana,6,0,6,0,Powerplay,0,9.0,6,1,Match situation currently stable. Batting side has strong momentum. Aggressive scoring pattern observed. 
Kochi Tuskers Kerala,4,1,BB McCullum,AG Murtaza,1,0,1,0,Powerplay,0,1.5,1,0,Match situation currently stable. Batting side has strong momentum. 
Chennai Super Kings,12,3,MS Dhoni,DJ Hussey,1,0,1,0,Middle Overs,0,1.5,1,0,Match situation currently stable. Batting side has strong momentum. 
Royal Challengers Bengaluru,4,3,V Kohli,MJ Suthar,6,0,6,0,Powerplay,0,9.0,6,1,Match situation currently stable. Batting side has strong momentum. Aggressive scoring pattern observed. 
Pune Warriors,15,4,WD Parnell,RA Jadeja,0,0,0,0,Death Overs,4,-2.0,0,0,Moderate pressure in match phase. Batting side losing momentum. 
