match_id,batting_team,over,batter,bowler,non_striker,runs_batter,runs_total,extras,wicket
1.0,Sunrisers Hyderabad,0,DA Warner,TS Mills,S Dhawan,0,0,0,0
1.0,Sunrisers Hyderabad,0,DA Warner,TS Mills,S Dhawan,0,0,0,0
1.0,Sunrisers Hyderabad,0,DA Warner,TS Mills,S Dhawan,4,4,0,0
1.0,Sunrisers Hyderabad,0,DA Warner,TS Mills,S Dhawan,0,0,0,0
1.0,Sunrisers Hyderabad,0,DA Warner,TS Mills,S Dhawan,0,2,2,0
1.0,Sunrisers Hyderabad,0,S Dhawan,TS Mills,DA Warner,0,0,0,0
1.0,Sunrisers Hyderabad,0,S Dhawan,TS Mills,DA Warner,0,1,1,0
1.0,Sunrisers Hyderabad,1,S Dhawan,A Choudhary,DA Warner,1,1,0,0
1.0,Sunrisers Hyderabad,1,DA Warner,A Choudhary,S Dhawan,4,4,0,0
1.0,Sunrisers Hyderabad,1,DA Warner,A Choudhary,S Dhawan,0,1,1,0
1.0,Sunrisers Hyderabad,1,DA Warner,A Choudhary,S Dhawan,6,6,0,0
1.0,Sunrisers Hyderabad,1,DA Warner,A Choudhary,S Dhawan,0,0,0,1
1.0,Sunrisers Hyderabad,1,MC Henriques,A Choudhary,S Dhawan,0,0,0,0
1.0,Sunrisers Hyderabad,1,MC Henriques,A Choudhary,S Dhawan,4,4,0,0
1.0,Sunrisers Hyderabad,2,S Dhawan,TS Mills,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,2,MC Henriques,TS Mills,S Dhawan,0,0,0,0
1.0,Sunrisers Hyderabad,2,MC Henriques,TS Mills,S Dhawan,0,0,0,0
1.0,Sunrisers Hyderabad,2,MC Henriques,TS Mills,S Dhawan,3,3,0,0
1.0,Sunrisers Hyderabad,2,S Dhawan,TS Mills,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,2,MC Henriques,TS Mills,S Dhawan,1,1,0,0
1.0,Sunrisers Hyderabad,3,MC Henriques,YS Chahal,S Dhawan,0,0,0,0
1.0,Sunrisers Hyderabad,3,MC Henriques,YS Chahal,S Dhawan,1,1,0,0
1.0,Sunrisers Hyderabad,3,S Dhawan,YS Chahal,MC Henriques,0,0,0,0
1.0,Sunrisers Hyderabad,3,S Dhawan,YS Chahal,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,3,MC Henriques,YS Chahal,S Dhawan,1,1,0,0
1.0,Sunrisers Hyderabad,3,S Dhawan,YS Chahal,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,4,S Dhawan,S Aravind,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,4,MC Henriques,S Aravind,S Dhawan,1,1,0,0
1.0,Sunrisers Hyderabad,4,S Dhawan,S Aravind,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,4,MC Henriques,S Aravind,S Dhawan,2,2,0,0
1.0,Sunrisers Hyderabad,4,MC Henriques,S Aravind,S Dhawan,4,4,0,0
1.0,Sunrisers Hyderabad,4,MC Henriques,S Aravind,S Dhawan,0,0,0,0
1.0,Sunrisers Hyderabad,5,S Dhawan,SR Watson,MC Henriques,4,4,0,0
1.0,Sunrisers Hyderabad,5,S Dhawan,SR Watson,MC Henriques,4,4,0,0
1.0,Sunrisers Hyderabad,5,S Dhawan,SR Watson,MC Henriques,0,0,0,0
1.0,Sunrisers Hyderabad,5,S Dhawan,SR Watson,MC Henriques,4,4,0,0
1.0,Sunrisers Hyderabad,5,S Dhawan,SR Watson,MC Henriques,4,4,0,0
1.0,Sunrisers Hyderabad,5,S Dhawan,SR Watson,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,6,S Dhawan,YS Chahal,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,6,MC Henriques,YS Chahal,S Dhawan,0,0,0,0
1.0,Sunrisers Hyderabad,6,MC Henriques,YS Chahal,S Dhawan,1,1,0,0
1.0,Sunrisers Hyderabad,6,S Dhawan,YS Chahal,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,6,MC Henriques,YS Chahal,S Dhawan,1,1,0,0
1.0,Sunrisers Hyderabad,6,S Dhawan,YS Chahal,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,7,S Dhawan,TM Head,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,7,MC Henriques,TM Head,S Dhawan,1,1,0,0
1.0,Sunrisers Hyderabad,7,S Dhawan,TM Head,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,7,MC Henriques,TM Head,S Dhawan,6,6,0,0
1.0,Sunrisers Hyderabad,7,MC Henriques,TM Head,S Dhawan,1,1,0,0
1.0,Sunrisers Hyderabad,7,S Dhawan,TM Head,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,8,S Dhawan,YS Chahal,MC Henriques,2,2,0,0
1.0,Sunrisers Hyderabad,8,S Dhawan,YS Chahal,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,8,MC Henriques,YS Chahal,S Dhawan,1,1,0,0
1.0,Sunrisers Hyderabad,8,S Dhawan,YS Chahal,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,8,MC Henriques,YS Chahal,S Dhawan,2,2,0,0
1.0,Sunrisers Hyderabad,8,MC Henriques,YS Chahal,S Dhawan,2,2,0,0
1.0,Sunrisers Hyderabad,9,S Dhawan,A Choudhary,MC Henriques,0,0,0,0
1.0,Sunrisers Hyderabad,9,S Dhawan,A Choudhary,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,9,MC Henriques,A Choudhary,S Dhawan,1,1,0,0
1.0,Sunrisers Hyderabad,9,S Dhawan,A Choudhary,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,9,MC Henriques,A Choudhary,S Dhawan,1,1,0,0
1.0,Sunrisers Hyderabad,9,S Dhawan,A Choudhary,MC Henriques,0,0,0,0
1.0,Sunrisers Hyderabad,10,MC Henriques,STR Binny,S Dhawan,1,1,0,0
1.0,Sunrisers Hyderabad,10,S Dhawan,STR Binny,MC Henriques,4,4,0,0
1.0,Sunrisers Hyderabad,10,S Dhawan,STR Binny,MC Henriques,0,0,0,1
1.0,Sunrisers Hyderabad,10,MC Henriques,STR Binny,Yuvraj Singh,1,1,0,0
1.0,Sunrisers Hyderabad,10,Yuvraj Singh,STR Binny,MC Henriques,2,2,0,0
1.0,Sunrisers Hyderabad,10,Yuvraj Singh,STR Binny,MC Henriques,2,2,0,0
1.0,Sunrisers Hyderabad,11,MC Henriques,S Aravind,Yuvraj Singh,1,1,0,0
1.0,Sunrisers Hyderabad,11,Yuvraj Singh,S Aravind,MC Henriques,0,0,0,0
1.0,Sunrisers Hyderabad,11,Yuvraj Singh,S Aravind,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,11,MC Henriques,S Aravind,Yuvraj Singh,1,1,0,0
1.0,Sunrisers Hyderabad,11,Yuvraj Singh,S Aravind,MC Henriques,4,4,0,0
1.0,Sunrisers Hyderabad,11,Yuvraj Singh,S Aravind,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,12,Yuvraj Singh,A Choudhary,MC Henriques,4,4,0,0
1.0,Sunrisers Hyderabad,12,Yuvraj Singh,A Choudhary,MC Henriques,6,6,0,0
1.0,Sunrisers Hyderabad,12,Yuvraj Singh,A Choudhary,MC Henriques,4,4,0,0
1.0,Sunrisers Hyderabad,12,Yuvraj Singh,A Choudhary,MC Henriques,0,0,0,0
1.0,Sunrisers Hyderabad,12,Yuvraj Singh,A Choudhary,MC Henriques,0,1,1,0
1.0,Sunrisers Hyderabad,12,Yuvraj Singh,A Choudhary,MC Henriques,2,2,0,0
1.0,Sunrisers Hyderabad,12,Yuvraj Singh,A Choudhary,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,13,Yuvraj Singh,SR Watson,MC Henriques,4,4,0,0
1.0,Sunrisers Hyderabad,13,Yuvraj Singh,SR Watson,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,13,MC Henriques,SR Watson,Yuvraj Singh,1,1,0,0
1.0,Sunrisers Hyderabad,13,Yuvraj Singh,SR Watson,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,13,MC Henriques,SR Watson,Yuvraj Singh,0,0,0,0
1.0,Sunrisers Hyderabad,13,MC Henriques,SR Watson,Yuvraj Singh,1,1,0,0
1.0,Sunrisers Hyderabad,14,MC Henriques,S Aravind,Yuvraj Singh,4,4,0,0
1.0,Sunrisers Hyderabad,14,MC Henriques,S Aravind,Yuvraj Singh,1,1,0,0
1.0,Sunrisers Hyderabad,14,Yuvraj Singh,S Aravind,MC Henriques,6,6,0,0
1.0,Sunrisers Hyderabad,14,Yuvraj Singh,S Aravind,MC Henriques,1,1,0,0
1.0,Sunrisers Hyderabad,14,MC Henriques,S Aravind,Yuvraj Singh,6,6,0,0
1.0,Sunrisers Hyderabad,14,MC Henriques,S Aravind,Yuvraj Singh,1,1,0,0
1.0,Sunrisers Hyderabad,15,MC Henriques,YS Chahal,Yuvraj Singh,0,0,0,0
1.0,Sunrisers Hyderabad,15,MC Henriques,YS Chahal,Yuvraj Singh,0,0,0,1
1.0,Sunrisers Hyderabad,15,Yuvraj Singh,YS Chahal,DJ Hooda,1,1,0,0
1.0,Sunrisers Hyderabad,15,DJ Hooda,YS Chahal,Yuvraj Singh,1,1,0,0
1.0,Sunrisers Hyderabad,15,Yuvraj Singh,YS Chahal,DJ Hooda,1,1,0,0
1.0,Sunrisers Hyderabad,15,DJ Hooda,YS Chahal,Yuvraj Singh,1,1,0,0
1.0,Sunrisers Hyderabad,16,DJ Hooda,TS Mills,Yuvraj Singh,1,1,0,0
1.0,Sunrisers Hyderabad,16,Yuvraj Singh,TS Mills,DJ Hooda,0,0,0,0
1.0,Sunrisers Hyderabad,16,Yuvraj Singh,TS Mills,DJ Hooda,4,4,0,0
1.0,Sunrisers Hyderabad,16,Yuvraj Singh,TS Mills,DJ Hooda,1,1,0,0
1.0,Sunrisers Hyderabad,16,DJ Hooda,TS Mills,Yuvraj Singh,0,0,0,0
1.0,Sunrisers Hyderabad,16,DJ Hooda,TS Mills,Yuvraj Singh,1,1,0,0
1.0,Sunrisers Hyderabad,17,DJ Hooda,A Choudhary,Yuvraj Singh,6,6,0,0
1.0,Sunrisers Hyderabad,17,DJ Hooda,A Choudhary,Yuvraj Singh,1,1,0,0
1.0,Sunrisers Hyderabad,17,Yuvraj Singh,A Choudhary,DJ Hooda,0,1,1,0
1.0,Sunrisers Hyderabad,17,Yuvraj Singh,A Choudhary,DJ Hooda,0,1,1,0
1.0,Sunrisers Hyderabad,17,Yuvraj Singh,A Choudhary,DJ Hooda,4,4,0,0
1.0,Sunrisers Hyderabad,17,Yuvraj Singh,A Choudhary,DJ Hooda,1,1,0,0
1.0,Sunrisers Hyderabad,17,DJ Hooda,A Choudhary,Yuvraj Singh,2,2,0,0
1.0,Sunrisers Hyderabad,17,DJ Hooda,A Choudhary,Yuvraj Singh,1,1,0,0
1.0,Sunrisers Hyderabad,18,DJ Hooda,TS Mills,Yuvraj Singh,1,1,0,0
1.0,Sunrisers Hyderabad,18,Yuvraj Singh,TS Mills,DJ Hooda,4,4,0,0
1.0,Sunrisers Hyderabad,18,Yuvraj Singh,TS Mills,DJ Hooda,6,6,0,0
1.0,Sunrisers Hyderabad,18,Yuvraj Singh,TS Mills,DJ Hooda,0,0,0,1
1.0,Sunrisers Hyderabad,18,BCJ Cutting,TS Mills,DJ Hooda,1,1,0,0
1.0,Sunrisers Hyderabad,18,DJ Hooda,TS Mills,BCJ Cutting,0,0,0,0
1.0,Sunrisers Hyderabad,19,BCJ Cutting,SR Watson,DJ Hooda,1,1,0,0
1.0,Sunrisers Hyderabad,19,DJ Hooda,SR Watson,BCJ Cutting,1,1,0,0
1.0,Sunrisers Hyderabad,19,BCJ Cutting,SR Watson,DJ Hooda,6,6,0,0
1.0,Sunrisers Hyderabad,19,BCJ Cutting,SR Watson,DJ Hooda,2,2,0,0
1.0,Sunrisers Hyderabad,19,BCJ Cutting,SR Watson,DJ Hooda,0,0,0,0
1.0,Sunrisers Hyderabad,19,BCJ Cutting,SR Watson,DJ Hooda,6,6,0,0
1.0,Royal Challengers Bangalore,0,CH Gayle,A Nehra,Mandeep Singh,1,1,0,0
1.0,Royal Challengers Bangalore,0,Mandeep Singh,A Nehra,CH Gayle,0,0,0,0
1.0,Royal Challengers Bangalore,0,Mandeep Singh,A Nehra,CH Gayle,0,0,0,0
1.0,Royal Challengers Bangalore,0,Mandeep Singh,A Nehra,CH Gayle,2,2,0,0
1.0,Royal Challengers Bangalore,0,Mandeep Singh,A Nehra,CH Gayle,4,4,0,0
