batter,batsman_runs,impact_score,pressure_score,momentum,is_wicket,player_rating
V Kohli,9155,2.4417261055634807,0.7463623395149787,1.1854493580599144,240,3205.246793865906
RG Sharma,7291,2.6128227960819235,0.9138023152270703,1.1241317898486198,252,2552.910792520035
S Dhawan,6769,2.412274302389203,0.6481853000182382,1.1214663505380267,194,2370.1069989057078
DA Warner,6567,2.5630026809651474,0.6279645287688184,1.2559290575376367,164,2299.4675293875025
KL Rahul,5712,2.403359356517625,0.7494677075940384,1.255500354861604,127,2000.2018334516204
SK Raina,5536,2.6052190567392866,0.7766339478094326,1.1826669858750298,168,1938.6431649509216
MS Dhoni,5439,2.0,1.9051450865642525,1.2016581321628872,158,1904.7713606437453
AM Rahane,5269,2.525243168133395,0.6482167670217693,1.071097730430755,176,1845.1251736915237
AB de Villiers,5181,2.5751362202466304,1.0995124749067966,1.3561800975050187,125,1814.4849225695439
SV Samson,5134,2.7420348058902277,0.7815261044176707,1.2096385542168675,160,1797.9837416331993
CH Gayle,4997,2.678612059158134,0.7266780432309442,1.335608646188851,128,1750.0321103526733
RV Uthappa,4954,2.709065444359562,0.7091927680162974,1.1016042780748663,184,1734.939425770308
KD Karthik,4843,2.5762137238947656,1.3512340656360184,1.11771087605099,189,1696.187842419311
F du Plessis,4773,2.5868238557558945,0.6707350901525658,1.189736477115118,135,1671.5688002773925
SA Yadav,4506,2.8268363402061856,0.8598582474226805,1.2786726804123711,134,1578.2344152706182
JC Buttler,4476,2.7062237987745887,0.8042566913898742,1.3247339567881329,117,1567.7023540793293
AT Rayudu,4348,2.4388252148997136,1.0375358166189113,1.0759312320916905,152,1522.832399713467
Shubman Gill,4333,2.57244094488189,0.6658267716535433,1.2406299212598426,109,1517.5744015748032
G Gambhir,4217,2.4662315550510785,0.5729284903518729,1.079455164585698,135,1476.8970346197502
SS Iyer,4127,2.51141407736208,0.8208623969562461,1.1727964489537095,121,1445.4765852885223
MK Pandey,3951,2.343070044709389,0.8587183308494784,1.0312965722801788,135,1383.8137704918033
SR Watson,3880,2.7327109266943292,0.7378976486860305,1.1798063623789765,126,1359.0667185338866
RR Pant,3818,2.6841812105458596,1.020051986632009,1.2614184923876717,115,1337.4273393984404
RA Jadeja,3450,2.1246828561072855,1.8035520115984052,1.0938745922435664,127,1208.610656034795
Q de Kock,3444,2.732238349885409,0.5828877005347594,1.1707410236822002,110,1206.4337853323145
KA Pollard,3437,2.4327748263179405,1.9840621168778096,1.2280343277482633,129,1204.2006129955046
Ishan Kishan,3418,2.8692307692307693,0.680161943319838,1.2133603238866397,112,1197.396012145749
DA Miller,3251,2.266155758077879,1.4548467274233636,1.2265948632974317,94,1138.9528272576636
YK Pathan,3222,2.582262210796915,1.3547557840616966,1.2125107112253641,111,1128.8590188517564
N Rana,3078,2.816551426101988,0.7990492653414002,1.1490924805531546,113,1078.3937662057044
WP Saha,2934,2.6841216216216215,0.9037162162162162,1.052364864864865,121,1027.9622466216215
HH Pandya,2904,2.4942112879884224,1.7708634828750602,1.2233478051133624,106,1017.6223950795948
BB McCullum,2882,2.761443661971831,0.6153169014084507,1.1324823943661972,106,1009.7399207746479
PA Patel,2848,2.763308763308763,0.5724815724815725,0.9852579852579852,127,997.8023751023751
GJ Maxwell,2820,3.276107594936709,0.995253164556962,1.2647679324894514,117,988.2710311181434
RD Gaikwad,2795,2.4858223062381852,0.6450850661625709,1.216446124763705,70,979.2437618147447
MA Agarwal,2764,3.0041938490214353,0.6281453867660765,1.0824790307548928,119,968.4931733457595
Yuvraj Singh,2754,2.497734481196194,1.2174898051653829,1.0598096964204804,109,964.9798935206163
V Sehwag,2728,3.3229678123295145,0.4920894708128751,1.3229678123295145,98,955.9937534097107
AD Russell,2655,2.8954489544895448,1.9366543665436655,1.454489544895449,92,930.6520910209101
M Vijay,2619,2.5824275362318843,0.5901268115942029,1.0253623188405796,97,917.6187047101449
SPD Smith,2495,2.3326663331665833,1.030015007503752,1.1060530265132567,78,874.2603801900951
SE Marsh,2489,2.462362780972295,0.6774699424986932,1.195504443282802,65,872.1401855723994
YBK Jaiswal,2481,3.0332933413317336,0.5278944211157769,1.3347330533893222,71,869.480848830234
