inning_team,momentum,impact_score,batsman_runs,dominance_score
Mumbai Indians,1.111322934719815,2.6131860196418257,44693,13409.12848497978
Chennai Super Kings,1.1361503825687207,2.4721968575836772,40957,12288.296119210303
Kolkata Knight Riders,1.087964116620982,2.6186768003987044,40707,12213.320788686768
Rajasthan Royals,1.097366074490706,2.628558200150902,37494,11249.427513889841
Royal Challengers Bangalore,1.0910122318737812,2.5704130473320332,35810,10744.20752880695
Sunrisers Hyderabad,1.1200658555194154,2.6149259125406576,32324,9698.432504115968
Kings XI Punjab,1.0718890753333923,2.6018502163737525,28541,8563.509310695044
Delhi Daredevils,1.039923347173427,2.5549877568402,23022,6907.782465665921
Delhi Capitals,1.129007036747459,2.734771483403227,18679,5604.97203425972
Punjab Kings,1.2158009516256938,2.859783901665345,14180,4255.34425555115
Gujarat Titans,1.2362951119232526,2.6438442211055277,12140,3643.287671311101
Lucknow Super Giants,1.172141763805487,2.7449075709407746,11492,3448.8923289768045
Deccan Chargers,1.000996236440115,2.565364179765331,10885,3266.6700077485057
Royal Challengers Bengaluru,1.3453502662843098,3.0236583367472347,7429,2230.1452376075376
Pune Warriors,0.8943597280911262,2.4323902259783208,6040,1813.0874609590298
Gujarat Lions,1.099831744251262,2.7194335389792483,4629,1389.9557627593942
Rising Pune Supergiant,1.063157894736842,2.498421052631579,2370,712.1747894736842
Rising Pune Supergiants,1.090506329113924,2.4231012658227846,1962,589.7631329113924
Kochi Tuskers Kerala,0.9298356510745891,2.4943109987357777,1758,528.5202275600506
